Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
5/06/2022 16:55:56,@GobIzcalli,Gobierno Municipal de Cuautitlán Izcalli,"Cuadrillas de la Dirección de Servicios Públicos realizaron labores de bacheo en Río blanco, Colinas del Lago. Con estas acciones seguimos trabajando por calles rehabilitadas, construyendo un Izcalli #ConMásSeguridad.",1533568329817935877,,https://pbs.twimg.com/media/FUhURDtXEAAU4Mu.jpg,,,0,Twitter for iPhone,7249,34,28,,"44127,64928",,Twitter oficial | Ayuntamiento de Cuautitlán Izcalli | 2022-2024. https://cuautitlanizcalli.gob.mx/wp-content/uploads/pdf/003_COMUNICACION-SOCIAL.pdf,,,View
5/06/2022 16:50:52,@GobIzcalli,Gobierno Municipal de Cuautitlán Izcalli,"A través del Instituto Municipal de la Juventud y la Coordinación Municipal de Movilidad, llevamos a cabo la gran apertura de la ""Vía hacia el Futuro"", con el objetivo de impulsar las actividades recreativas, del deporte y fomentar una cultura vial. #SomosFuturo",1533567051989667841,,https://pbs.twimg.com/media/FUhTGqaX0AAdPHU.jpg,,,0,Twitter for iPhone,7249,34,28,,"44127,64928",,Twitter oficial | Ayuntamiento de Cuautitlán Izcalli | 2022-2024. https://cuautitlanizcalli.gob.mx/wp-content/uploads/pdf/003_COMUNICACION-SOCIAL.pdf,,,View
5/06/2022 14:33:57,@GobIzcalli,Gobierno Municipal de Cuautitlán Izcalli,"En conjunto con el Instituto Municipal de la Juventud Cuautitlán Izcalli y la Coordinación Municipal de Movilidad inauguramos la ""Vía hacia el Futuro"", un espacio para que tu y tu familia disfruten de una convivencia todos los domingos en la Av. Constitución. #ConMásSeguridad",1533532595878780930,,https://pbs.twimg.com/media/FUgzxFOWAAAebQV.jpg,,,0,Twitter for iPhone,7249,34,28,,"44127,64928",,Twitter oficial | Ayuntamiento de Cuautitlán Izcalli | 2022-2024. https://cuautitlanizcalli.gob.mx/wp-content/uploads/pdf/003_COMUNICACION-SOCIAL.pdf,,,View
5/06/2022 13:50:38,@GobIzcalli,Gobierno Municipal de Cuautitlán Izcalli,"POLICIA DE CUAUTITLÁN IZCALLI ENFRENTA Y FRUSTRA A ASALTANTES EN SAM´S CLUB. - Localizan en Cruz Roja a uno de los presuntos asaltantes. Elementos de la Comisaría General de Seguridad Ciudadana, está mañana, enfrentaron a 3 asaltantes que entraron con violencia a SAM´S CLUB.(1/4)",1533521697214717952,,https://pbs.twimg.com/media/FUgp2unVsAAnac5.jpg,,,3,Twitter for iPhone,7249,34,28,,"44127,64928",,Twitter oficial | Ayuntamiento de Cuautitlán Izcalli | 2022-2024. https://cuautitlanizcalli.gob.mx/wp-content/uploads/pdf/003_COMUNICACION-SOCIAL.pdf,,,View
5/06/2022 9:18:17,@GobIzcalli,Gobierno Municipal de Cuautitlán Izcalli,Pongamos fin a la violencia familiar. Identifica y denuncia. #SomosFuturo,1533453155119276034,,https://pbs.twimg.com/media/FUfrg7DXoAAsBSu.jpg,,,1,Twitter for iPhone,7249,34,28,,"44127,64928",,Twitter oficial | Ayuntamiento de Cuautitlán Izcalli | 2022-2024. https://cuautitlanizcalli.gob.mx/wp-content/uploads/pdf/003_COMUNICACION-SOCIAL.pdf,,,View
4/06/2022 20:51:57,@GobIzcalli,Gobierno Municipal de Cuautitlán Izcalli,"La Dirección Jurídica en conjunto con el IMEGDEM y autoridades Estatales, llevaron a cabo la Jornada de Justicia Itinerante en Infonavit, donde se brindaron múltiples servicios de asesoría civil, penal, administrativo, derechos humanos, familiar, laboral, por mencionar algunos.",1533265334442115072,,https://pbs.twimg.com/media/FUdAsZzWAAAYfjZ.jpg,,,0,Twitter for iPhone,7250,34,28,,"44127,64928",,Twitter oficial | Ayuntamiento de Cuautitlán Izcalli | 2022-2024. https://cuautitlanizcalli.gob.mx/wp-content/uploads/pdf/003_COMUNICACION-SOCIAL.pdf,,,View
4/06/2022 19:28:31,@GobIzcalli,Gobierno Municipal de Cuautitlán Izcalli,Del 6 al 9 de junio se estarán aplicando pruebas gratuitas para detectar COVID-19 en la Concha Acústica de la Explanada Municipal. #SomosFuturo,1533244340075745280,,https://pbs.twimg.com/media/FUctmTEXEAAg5JW.jpg,,,2,Twitter for iPhone,7250,34,28,,"44127,64928",,Twitter oficial | Ayuntamiento de Cuautitlán Izcalli | 2022-2024. https://cuautitlanizcalli.gob.mx/wp-content/uploads/pdf/003_COMUNICACION-SOCIAL.pdf,,,View
4/06/2022 18:40:16,@GobIzcalli,Gobierno Municipal de Cuautitlán Izcalli,"Por parte de la Dirección de Desarrollo Social tuvimos una tarde de música y danza en la cual contamos con la participación del ""Centro regional de cultura de cuautitlán Izcalli"". Además de los diferentes talleres que se imparten en el Ágora.",1533232198169595905,,https://pbs.twimg.com/media/FUcijgnXsAMLN5A.jpg,,,1,Twitter for iPhone,7250,34,28,,"44127,64928",,Twitter oficial | Ayuntamiento de Cuautitlán Izcalli | 2022-2024. https://cuautitlanizcalli.gob.mx/wp-content/uploads/pdf/003_COMUNICACION-SOCIAL.pdf,,,View
4/06/2022 14:35:47,@GobIzcalli,Gobierno Municipal de Cuautitlán Izcalli,"Cuadrillas de la Dirección de Servicios públicos trabajan en conservación de vialidades en Río Acaponeta, Colonia Colinas del Lago. #ConMásSeguridad #SomosFuturo",1533170672620343296,,https://pbs.twimg.com/media/FUbqlC4UYAAXp1X.jpg,,,0,Twitter for iPhone,7251,34,28,,"44127,64928",,Twitter oficial | Ayuntamiento de Cuautitlán Izcalli | 2022-2024. https://cuautitlanizcalli.gob.mx/wp-content/uploads/pdf/003_COMUNICACION-SOCIAL.pdf,,,View
4/06/2022 12:25:03,@GobIzcalli,Gobierno Municipal de Cuautitlán Izcalli,"A través del @IMJUCI, en conjunto con la Coordinación Municipal de Movilidad, se llevó a cabo el #NeonFest, Rodando de Noche, en el que cientos de izcallenses se dieron cita en las oficinas centrales del Instituto con rumbo al Estadio Hugo Sánchez.",1533137769886887938,,https://pbs.twimg.com/media/FUbMrJHWIAESjka.jpg,,,0,Twitter for iPhone,7250,34,28,,"44127,64928",,Twitter oficial | Ayuntamiento de Cuautitlán Izcalli | 2022-2024. https://cuautitlanizcalli.gob.mx/wp-content/uploads/pdf/003_COMUNICACION-SOCIAL.pdf,,,View
4/06/2022 12:00:59,@GobIzcalli,Gobierno Municipal de Cuautitlán Izcalli,"En apoyo a la economía de las y los izcallenses, OPERAGUA Izcalli tiene grandes descuentos para lograr la regularización del pago en el servicio de agua potable. Conoce los beneficios que estarán disponible durante 2022. #SomosFuturo RT @OperaguaIzcalli: Atención comunidad izcallense. 📢💦 ¡En OPERAGUA tenemos grandes descuentos para ti! 👈🏻 En apoyo a tu economía, aprovecha los beneficios que te brinda el Programa de Regularización Fiscal 2022: #SomosFuturo #CuidandoElFuturo",1533131714792398849,https://twitter.com/operaguaizcalli/status/1527408540515717121,https://pbs.twimg.com/media/FTJx7KRWQAA5AOu.jpg,,,0,Twitter for iPhone,7250,34,28,,"44127,64928",,Twitter oficial | Ayuntamiento de Cuautitlán Izcalli | 2022-2024. https://cuautitlanizcalli.gob.mx/wp-content/uploads/pdf/003_COMUNICACION-SOCIAL.pdf,,,View
3/06/2022 22:00:00,@GobIzcalli,Gobierno Municipal de Cuautitlán Izcalli,"Identifica los diferentes tipos de extorsión, detéctalos y evita ser víctima de este delito. Denuncia al 800 702 87 70 y dale cortón a la extorsión.",1532920075208077313,,https://pbs.twimg.com/media/FUXOQcjWAAI8Uwc.jpg,,,0,TweetDeck,7246,34,29,,"44127,64928",,Twitter oficial | Ayuntamiento de Cuautitlán Izcalli | 2022-2024. https://cuautitlanizcalli.gob.mx/wp-content/uploads/pdf/003_COMUNICACION-SOCIAL.pdf,,,View
3/06/2022 21:52:04,@GobIzcalli,Gobierno Municipal de Cuautitlán Izcalli,"Identifica los diferentes tipos de extorsión, detectalos y evita ser víctima de este delito. Denuncia al 800 702 87 70 y dale cortón a la extorsión.",1532918077444202498,,https://pbs.twimg.com/media/FUYE3LVUAAA2BdQ.jpg,,,1,Twitter for iPhone,7246,34,29,,"44127,64928",,Twitter oficial | Ayuntamiento de Cuautitlán Izcalli | 2022-2024. https://cuautitlanizcalli.gob.mx/wp-content/uploads/pdf/003_COMUNICACION-SOCIAL.pdf,,,View
3/06/2022 21:16:32,@GobIzcalli,Gobierno Municipal de Cuautitlán Izcalli,"El ISEM, y en coordinación con la Dirección de Desarrollo Social, realizarán pruebas rápidas de detección de COVID-19 del 6 al 9 junio, estás serán totalmente gratuitas. Procurar la salud de las y los izcallenses para un municipio #ConMásSeguridad",1532909134361907201,,https://pbs.twimg.com/media/FUX8us7VEAAEDUw.jpg,,,0,Twitter for iPhone,7246,34,29,,"44127,64928",,Twitter oficial | Ayuntamiento de Cuautitlán Izcalli | 2022-2024. https://cuautitlanizcalli.gob.mx/wp-content/uploads/pdf/003_COMUNICACION-SOCIAL.pdf,,,View
3/06/2022 19:00:00,@GobIzcalli,Gobierno Municipal de Cuautitlán Izcalli,Mejoramos las herramientas de trabajo de nuestros elementos de la Comisaría para reforzar la seguridad en el municipio y recuperar la tranquilidad de las y los izcallenses. Por un Izcalli #ConMásSeguridad #SomosFuturo,1532874776389095424,,pic.twitter.com/XwBHuZTNPr,,,0,TweetDeck,7244,34,29,,"44127,64928",,Twitter oficial | Ayuntamiento de Cuautitlán Izcalli | 2022-2024. https://cuautitlanizcalli.gob.mx/wp-content/uploads/pdf/003_COMUNICACION-SOCIAL.pdf,,,View
